   8048901 	   8048903 	 0
   804890a 	   804898b 	 1
   80489b4 	   80486b9 	 1
   80486b9 	   80486c0 	 1
   80486e4 	   80487d8 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e3 	 0
   80487e3 	   8048819 	 1
   80488f4 	   80488f6 	 0
   8048901 	   8048903 	 0
   804890a 	   804898b 	 1
   80489b4 	   80486b9 	 1
   80486b9 	   80486c0 	 1
   80486e4 	   80487d8 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e3 	 0
   80487e3 	   8048819 	 1
   80488f4 	   80488f6 	 0
   8048901 	   804890f 	 1
   804892c 	   804892e 	 0
   8048945 	   804898b 	 1
   80489b4 	   80486b9 	 1
   80486b9 	   80486c0 	 1
   80486e4 	   80487d8 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e5 	 1
   8048817 	   80487dd 	 1
   80487e1 	   80487e3 	 0
   80487e3 	   8048819 	 1
   80488f4 	   80488f6 	 0
   8048901 	   804890f 	 1
   804892c 	   804894a 	 1
   8048987 	   8048989 	 0
   8048989 	   80489b6 	 1
   8048a2f 	   8048a33 	 1
   8048a3b 	   8048a5f 	 1
   8048a99 	   8048a9d 	 1
